asegurado_id;asegurado_nombre;asegurado_apellido;asegurado_telefono;asegurado_mail
1;Isidro;Velez;3512535982;isidro.z@gmail.com
2;Laura;Garcia;2603376974;laura.a@hotmail.com
3;Fortunato;Zamora;3879858383;f.zamora@outlook.com
4;Alfredo;Venecio;3411854363;
5;Gilberto;Tello;;
6;Alfredo;Duarte;3886239424;a.duarte@gmail.com
7;Prospero;Vanetta;2608633586;p.vanetta@yahoo.com
8;Monica;Re;;
9;Elena;Chattas;3817795855;e.chattas@hotmail.com
10;Aquilino;Neira;2609655723;aquilino.neira@broker.com
11;Josefa;Fichetti;;josefa.i@broker.com
12;Procopio;Carnero;3412321638;procopio.carnero@outlook.com
13;Nicolas;Galarza;3881530843;n.galarza@hotmail.com
14;Raimundo;Rojo;3519239585;raimundo.rojo@broker.com
15;Gaspar;Calvar;3885868979;
16;Cecilia;Ruiz;3875345082;c.ruiz@outlook.com
17;Ernesto;Gonzalez;3814042875;ernesto.gonzalez@gmail.com
18;Evaristo;Santolino;2606896663;evaristo.o@outlook.com
19;Maria del Pilar;Concreto;3871541450;
20;Rafaela;Correa;2607728950;
21;Carlos;Allende;;c.allende@yahoo.com
22;Manuela;Manten;3518738383;manuela.manten@gmail.com
23;Alejandra;Cervi;3878359131;
24;Maria Belen;Siete27 Sas;3518081862;siete27@gmail.com
25;Gumersindo;Carando;2604263584;gumersindo.o@gmail.com
26;Teodosio;Contarino;2605542023;t.contarino@gmail.com
27;Jesus;Arnau;3875366571;jesus.arnau@yahoo.com
28;Mateo;Muttigliengo;3819261188;
29;Ildefonso;Del Basso;;
30;Eladio;Orellano;;
31;Raul;Zalaya;3514730943;raul.a@outlook.com
32;Manuela;Arrigo;;
33;Natalia;Gianini;2601206990;
34;Edelmiro;Roccia;3514101075;edelmiro.roccia@outlook.com
35;Francisco;Diaz;;f.diaz@hotmail.com
36;Aurora;Suarez;;a.suarez@outlook.com
37;Silvia;Machado;2608585628;silvia.machado@gmail.com
38;Gabriel;Galindez;3872318357;g.galindez@broker.com
39;Remedios;Ortiz;2607146992;r.ortiz@gmail.com
40;Ambrosio;Huergo;3876859538;ambrosio.o@yahoo.com
41;Fabian;Tata;3887398063;fabian.tata@broker.com
42;Prospero;Lopez;1122882049;prospero.z@yahoo.com
43;Epifanio;Nicolossi;1155002904;epifanio.nicolossi@hotmail.com
44;Anacleto;Perez;3883785541;
45;Simon;Distasi;3888827052;simon.i@hotmail.com
46;Ana;Leguizamon;2605297736;a.leguizamon@broker.com
47;Ernesto;Sanchez;3874128266;
48;Braulio;Lopez;3881766682;braulio.z@yahoo.com
49;Maria Jesus;Carnazola;3811545519;maria jesus.carnazola@outlook.com
50;Jacinto;Inzai;3414812569;jacinto.i@hotmail.com
51;Amparo;Parra;3881890860;a.parra@gmail.com
52;Valeriano;Forno;3812406407;v.forno@gmail.com
53;Cecilia;Gonzalez;3518936800;cecilia.gonzalez@broker.com
54;Alfredo;Navarro;3815526757;alfredo.navarro@yahoo.com
55;Maria Jesus;Barroso;1180314903;m.barroso@gmail.com
56;Raul;Fernandez;2608042957;raul.fernandez@yahoo.com
57;Felisa;Villafanie;3816509973;
58;Beatriz;Guerin;;beatriz.n@yahoo.com
59;Lucia;Antonelli;;l.antonelli@outlook.com
60;Miriam;Pinto;3417030537;miriam.o@outlook.com
61;Manuel;Tejeda;3887267881;
62;Alonso;Hoppe;;alonso.hoppe@yahoo.com
63;Rafaela;Patinio;;r.patinio@broker.com
64;Natalia;Jusid;1118368743;
65;Maria Jesus;Bessone;3878374899;maria jesus.bessone@gmail.com
66;Hermenegildo;Piqueras;3873709079;hermenegildo.s@gmail.com
67;Luis;Cadre;3815481346;l.cadre@gmail.com
68;Faustino;Marceletti;1116948298;faustino.marceletti@yahoo.com
69;Filomeno;Morales;3888047690;f.morales@hotmail.com
70;Honorato;Pereyra;;honorato.pereyra@yahoo.com
71;Adalberto;Vaudagna;2609382331;adalberto.a@hotmail.com
72;Maria Dolores;Suarez;3517056850;maria dolores.suarez@outlook.com
73;Manuela;Videla;1119731296;m.videla@hotmail.com
74;Antonia;Acevedo;3511600637;antonia.acevedo@hotmail.com
75;Tomas;Prono;3519201193;
76;Octavio;Hanjian;1199118362;octavio.n@yahoo.com
77;Andres;Sabino;;andres.o@broker.com
78;Gerardo;Bulacio;;gerardo.bulacio@hotmail.com
79;Rafaela;Aguero;3414697008;rafaela.aguero@gmail.com
80;Hugo;Arias;1196802551;hugo.s@gmail.com
81;Ines;Picon;2608117439;i.picon@outlook.com
82;Concepcion;Almena;2605185882;concepcion.almena@gmail.com
83;Toribio;Gonzalez;2607588807;t.gonzalez@broker.com
84;Panfilo;Molina;1151970589;panfilo.a@outlook.com
85;Mariano;Aznar;3819778345;
86;Angustias;Escriba;3417233469;angustias.a@yahoo.com
87;Higinio;Coronda;3515615101;higinio.a@broker.com
88;Bartolome;Ottonello;3413552191;bartolome.o@gmail.com
89;Dolores;Gonzalez;3888216051;d.gonzalez@gmail.com
90;Anselmo;Godoy;3512545999;a.godoy@yahoo.com
91;Constantino;Rivero;3888491788;constantino.rivero@broker.com
92;Eladio;Gribaudo;1111521485;e.gribaudo@hotmail.com
93;Aitana;Rimondino;;aitana.o@broker.com
94;Braulio;Suarez;1197866263;b.suarez@broker.com
95;Honorato;Martinez;3819610081;honorato.z@outlook.com
96;Silvia;Thomas;3886093970;
97;Maria del Carmen;Aguirre;3889659794;m.aguirre@broker.com
98;Angustias;Martina;3413392750;angustias.martina@outlook.com
99;Maria Belen;Syngenta;2609698209;m.syngenta@yahoo.com
100;Enrique;Ponce De Leon;3812858917;e.ponce de leon@gmail.com
101;David;Gonzalez;1182363901;
102;Aurora;Delseri;3881466959;a.delseri@gmail.com
103;Honorato;Aguirre;1183919035;
104;Pantaleon;Actis;3416495243;pantaleon.actis@gmail.com
105;Urbano;Ordoniez;3512966945;u.ordoniez@yahoo.com
106;Maria de la Asuncion;Bayona;3819598741;maria de la asuncion.a@yahoo.com
